action_id,entity_id,entity_name,owner_team,route,risk_driver,avg_uptime_pct,fourteen_day_cash_variance,open_event_count,composite_priority,expected_value_or_cost_avoidance,confidence,next_step,target_report_date
ACT026,DEV027,Travel center Smart safe 27,Field service,Route C,downtime,97.73,7581.13,14,91.8,33183,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT017,DEV018,Cash intensive retail Cash recycler 18,Field service,Route B,downtime,97.85,3154.28,15,76.5,30139,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT012,DEV013,Convenience Cash recycler 13,Processing operations,Route E,downtime,97.38,2639.53,12,74.4,35610,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT001,DEV001,Convenience ATM 01,Processing operations,Route A,downtime,97.74,2898.64,14,73.9,30042,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT005,DEV006,Cash intensive retail ATM 06,Reporting analytics,Route F,downtime,97.87,2510.71,12,73.8,31884,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT011,DEV012,Cash intensive retail ATM 12,Field service,Route D,downtime,96.97,4586.94,10,73.4,32837,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT003,DEV003,Travel center ATM 03,Cash logistics,Route C,downtime,98.34,5663.2,10,72.7,31249,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT010,DEV011,Restaurant ATM 11,Processing operations,Route C,downtime,98.36,1492.29,14,70.6,28865,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT006,DEV007,Convenience ATM 07,Merchant support,Route G,open service events,97.9,5371.75,12,70.5,24047,0.94,"Assign owner, close stale event notes, and refresh the exception report.",2026-04-30
ACT002,DEV002,Grocery ATM 02,Processing operations,Route B,downtime,98.19,2435.69,13,69.4,27476,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT019,DEV020,Grocery Cash recycler 20,Merchant support,Route D,downtime,97.22,2977.29,10,68.0,32044,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT008,DEV009,Travel center ATM 09,Cash logistics,Route A,open service events,98.08,1159.68,15,67.6,19797,0.94,"Assign owner, close stale event notes, and refresh the exception report.",2026-04-30
ACT016,DEV017,Restaurant Cash recycler 17,Reporting analytics,Route A,downtime,97.78,1022.02,12,67.5,27383,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT015,DEV016,Fuel and c-store Cash recycler 16,Merchant support,Route H,downtime,98.13,2214.44,10,66.3,28812,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT023,DEV024,Cash intensive retail Smart safe 24,Reporting analytics,Route H,downtime,97.14,1697.43,11,66.2,23532,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT032,DEV033,Travel center Air vac 33,Reporting analytics,Route A,downtime,97.59,5703.38,11,66.1,25582,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT022,DEV023,Restaurant Smart safe 23,Field service,Route G,downtime,98.07,1788.97,11,65.8,23787,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT014,DEV015,Travel center Cash recycler 15,Field service,Route G,downtime,97.4,1663.18,7,64.9,33620,0.91,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT020,DEV021,Travel center Cash recycler 21,Processing operations,Route E,downtime,97.62,2061.25,11,64.1,29960,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT035,DEV036,Cash intensive retail Financial services kiosk 36,Cash logistics,Route D,downtime,97.23,3022.55,10,63.4,27453,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT033,DEV034,Fuel and c-store Financial services kiosk 34,Reporting analytics,Route B,downtime,97.37,664.62,10,62.9,26804,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT004,DEV004,Fuel and c-store ATM 04,Field service,Route D,downtime,98.11,781.54,13,62.7,22625,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT009,DEV010,Fuel and c-store ATM 10,Reporting analytics,Route B,downtime,97.63,2795.1,12,61.1,23859,0.94,Dispatch field service and confirm machine health after the route visit.,2026-04-30
ACT027,DEV028,Fuel and c-store Smart safe 28,Cash logistics,Route D,open service events,98.74,761.79,13,59.2,18422,0.94,"Assign owner, close stale event notes, and refresh the exception report.",2026-04-30
